NATIVE	Actor.AllActors	Final|Iterator|Native|HasOptionalParms|Public|HasOutParms
NATIVE	Actor.AllOwnedComponents	Final|Iterator|Native|Public|HasOutParms
NATIVE	Actor.AttachComponent	Final|Native|Public
NATIVE	Actor.AutonomousPhysics	Final|Native|Public
NATIVE	Actor.BasedActors	Final|Iterator|Native|Public|HasOutParms
NATIVE	Actor.BP2Vect	Final|Native|Static|Public
NATIVE	Actor.CanTakeDamage	Native|Public
NATIVE	Actor.ChartData	Final|Native|Public
NATIVE	Actor.ChildActors	Final|Iterator|Native|Public|HasOutParms
NATIVE	Actor.ClampRotation	Final|Simulated|Native|Public|HasOutParms
NATIVE	Actor.ClearAllTimers	Final|Native|HasOptionalParms|Public
NATIVE	Actor.ClearTimer	Final|Native|HasOptionalParms|Public
NATIVE	Actor.Clock	Final|Native|Public|HasOutParms
NATIVE	Actor.CollidingActors	Final|Iterator|Native|HasOptionalParms|Public|HasOutParms
NATIVE	Actor.ComponentList	Final|Iterator|Native|Public|HasOutParms
NATIVE	Actor.ConsoleCommand	Native|HasOptionalParms|Public
NATIVE	Actor.ContainsPoint	Final|Native|Public
NATIVE	Actor.CreateAudioComponent	Final|Native|HasOptionalParms|Public
NATIVE	Actor.Destroy	Final|Native|Public
NATIVE	Actor.DetachComponent	Final|Native|Public
NATIVE	Actor.DrawDebugBox	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugCone	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugCoordinateSystem	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugCylinder	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugFrustrum	Final|Native|Static|HasOptionalParms|Public|HasOutParms
NATIVE	Actor.DrawDebugLine	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugPoint	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugSphere	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugStar	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DrawDebugString	Final|Native|Static|HasOptionalParms|Public
NATIVE	Actor.DynamicActors	Final|Iterator|Native|HasOptionalParms|Public|HasOutParms
NATIVE	Actor.EnableForceTranslucency	Final|Native|HasOptionalParms|Public
NATIVE	Actor.FastTrace	Final|Native|HasOptionalParms|Public
NATIVE	Actor.FindBase	Native|Public
NATIVE	Actor.FindSpot	Final|Native|Public|HasOutParms
NATIVE	Actor.FinishAnim	Final|Latent|Native|Public
NATIVE	Actor.fixedTurn	Final|Native|Public
NATIVE	Actor.FlushDebugStrings	Final|Native|Static|Public
NATIVE	Actor.FlushPersistentDebugLines	Final|Native|Static|Public
NATIVE	Actor.ForceUpdateComponents	Native|HasOptionalParms|Public
NATIVE	Actor.GetALocalPlayerController	Final|Native|Public
NATIVE	Actor.GetAvoidanceVector	Final|Native|HasOptionalParms|Public|HasOutParms
NATIVE	Actor.GetBasedPosition	Final|Native|Static|Public
NATIVE	Actor.GetBaseMost	Native|Public
NATIVE	Actor.GetBoundingCylinder	Native|Public|HasOutParms
NATIVE	Actor.GetComponentsBoundingBox	Final|Native|Public|HasOutParms
NATIVE	Actor.GetDestination	Final|Native|Public
NATIVE	Actor.GetGravityZ	Native|Public
NATIVE	Actor.GetLanguage	Native|Public
NATIVE	Actor.GetPackageGuid	Final|Native|Static|Public
NATIVE	Actor.GetReboundTargetLocation	Simulated|Native|HasOptionalParms|Public
